country,place,latitude,longitude,lived,visited,stayed overnight,year
France,Paris,48.856613,2.352222,N,Y,N,
Germany,Koblenz,50.356548,7.599420,N,Y,Y,2013
Switzerland,Brienz,46.754130,8.031870,N,Y,Y,2018
Norway,Bergen,60.391262,5.322054,N,Y,N,2013
Italy,Rome,41.90315812001139,12.497926274436685,N,Y,Y
Scotland,Edinburgh,55.95380352819795,-3.1876382885479457,N,Y,Y
Wales,Cardiff,51.48383021019231,-3.1688965723683262,N,Y,N
Japan,Tokyo,35.869906311442705,139.82414341357543,N,Y,Y,2014
Japan,Hiroshima,34.40601923240934,132.45377307112105,N,Y,Y,2014
Japan,Kyoto,35.06985485266538,135.74857436456145,N,Y,Y,2014
Japan,Miyajima,34.276681258491045,132.3053352132283,N,Y,N,2014
USA,Florida,28.540232145183577,-81.36602133158048,N,Y,Y,2008
USA,New York City,40.71796983308423,-74.03190072722792,N,Y,Y,2019
USA,Washington DC,38.90736900666678,-77.02909737729343,N,Y,Y,2019
Canada,Toronto,43.65801574268776,-79.3900560814494,N,Y,Y,2019
